Tickers,Analyst Rating,Industry,Working Capital,,,,,Quick Ratio,,,,,EPS,,,,,PE Ratio,,,,,Short to Long Term Debt,,,,,ROE,,,,,Current,,,,,Net Project Margin,,,,,Ave 30 day Volume,Ave 6 month Volume,Ave 3 month Volume,Volume 5day ave,PX 1 Yr Ago,PX 6 Months Ago,PX 3m ago,PX 1 Day ago
BMY UN Equity,4.473684311,"Consumer, Non-cyclical",8252.00,28005.00,29702.00,11050.00,12621.00,1.51,3.49,3.51,1.19,1.33,1.05,0.88,0.83,-0.55,-0.34,11.43,10.50,11.69,15.61,17.25,6585.00,25561.00,25529.00,47538.00,47530.00,36.73,43.74,36.15,10.48,2.93,1.93,3.88,3.83,1.60,1.66,28.89,22.83,22.52,-13.29,-7.19,4549094.00,3980313.25,4070927.25,3731863.5,45.89,62.98,57.87,59.14
AMAT UW Equity,4.607142925,Technology,6509.00,6457.00,6257.00,5759.00,6200.00,1.63,1.63,1.57,1.38,1.45,0.81,0.71,0.61,0.76,0.97,10.18,13.08,16.52,20.54,14.70,5310.00,5311.00,5312.00,5313.00,5474.00,43.60,42.12,37.01,35.94,33.52,2.72,2.79,2.65,2.30,2.36,20.54,18.82,16.03,18.59,21.43,3151912.25,3448972.75,3356732.25,2897706.75,43.98,59.89,46.15,61.00
RTX UN Equity,4.380952358,Industrial,3999.00,1636.00,2249.00,2911.00,7373.00,0.63,0.58,0.59,0.60,0.67,1.58,2.22,1.34,1.33,-0.10,9.76,9.58,10.09,10.92,6.87,47788.00,48089.00,47255.00,46336.00,48445.00,15.14,14.34,14.00,13.80,10.38,1.13,1.05,1.06,1.08,1.23,7.33,9.68,5.89,5.85,-0.46,2915374.50,2495095.25,3261795.25,2968599.5,78.17,90.64,57.56,61.79
UNP UN Equity,4.206896782,Industrial,-1309.00,-1579.00,-514.00,-892.00,-837.00,0.53,0.52,0.65,0.57,0.62,1.94,2.23,2.22,2.03,2.15,20.52,20.15,19.14,21.54,16.39,27192.00,27306.00,27654.00,27033.00,29541.00,28.71,32.08,31.40,30.71,35.59,0.75,0.72,0.89,0.80,0.82,25.84,28.06,28.19,26.92,28.19,1067498.25,1143990.125,1052241.375,1099647.625,170.03,179.43,147.85,169.08
DHR UN Equity,4.565217495,"Consumer, Non-cyclical",5447.60,6595.70,14419.70,20664.50,2677.00,1.58,1.78,2.99,4.68,0.92,0.46,0.99,0.90,1.75,0.83,40.16,43.14,43.22,44.03,39.71,10480.90,11263.40,18603.80,22526.00,26831.50,8.43,8.46,8.29,10.33,10.73,2.18,2.32,3.43,5.19,1.32,7.91,14.18,13.26,26.19,13.70,814926.56,877931.25,829035.6875,793702.375,144.45,154.61,141.94,179.68
MRK UN Equity,4.523809433,"Consumer, Non-cyclical",6808.00,4213.00,5458.00,5263.00,2691.00,0.88,0.75,0.80,0.78,0.66,1.13,1.04,0.74,0.92,1.27,18.51,17.66,16.62,17.50,14.05,26921.00,27580.00,27108.00,27350.00,27998.00,27.44,31.12,31.43,37.42,37.76,1.37,1.21,1.26,1.24,1.11,26.95,22.70,15.33,19.86,26.70,3192434.25,3638615.5,3075071.25,2835481.25,85.60,91.64,80.31,78.78
SBUX UW Equity,3.742857218,"Consumer, Cyclical",-321.10,1839.00,-514.80,-2775.80,-2515.90,0.54,0.95,0.59,0.46,0.43,0.54,1.13,0.67,0.75,0.28,28.17,30.24,31.56,30.25,24.94,9216.50,11159.10,11167.00,20630.40,22919.10,#N/A N/A,,,,,0.94,1.31,0.92,0.68,0.70,10.52,20.12,11.90,12.48,5.48,3813151.50,4024869.25,3891107.5,3865470.5,87.79,88.13,67.79,73.78
NKE UN Equity,4.5,"Consumer, Cyclical",8515.00,8659.00,8158.00,8105.00,7464.00,1.18,1.14,1.03,1.00,0.92,0.70,0.63,0.87,0.71,0.54,32.89,33.71,35.04,35.42,28.45,3487.00,3479.00,6821.00,6922.00,6656.00,44.57,42.74,47.32,50.58,47.96,2.17,2.10,2.01,1.98,1.90,11.46,9.71,12.82,10.80,8.38,2126491.25,2230557.5,1895952.625,2989131.25,86.82,101.83,84.63,98.43
SPGI UN Equity,4.368421078,"Consumer, Non-cyclical",527.00,995.00,349.00,1619.00,712.00,1.11,1.27,1.03,1.45,1.15,1.66,2.25,2.52,2.22,2.64,25.42,26.65,27.72,29.86,25.09,4390.00,4394.00,4392.00,4680.00,4656.00,1124.55,360.18,334.77,383.56,,1.20,1.37,1.10,1.52,1.24,26.10,32.57,36.53,31.18,35.78,465390.81,520346.7813,478331.9375,511313.1875,237.00,279.04,255.83,333.25
VZ UN Equity,3.516129017,Communications,-5210.00,-4906.00,-4314.00,-7395.00,-352.00,0.69,0.70,0.71,0.62,0.75,1.22,0.95,1.26,1.23,1.00,12.45,11.97,12.57,11.48,9.95,135627.00,134779.00,130772.00,133143.00,139184.00,30.04,29.17,28.41,33.64,31.69,0.87,0.87,0.89,0.84,0.99,15.66,12.30,15.79,14.65,13.15,5003477.00,5049781,4528555,5739611.5,58.31,60.27,56.70,54.79
PG UN Equity,3.956521749,"Consumer, Non-cyclical",-6058.00,-7538.00,-8328.00,-11247.00,-5756.00,0.53,0.51,0.48,0.38,0.61,1.07,-2.12,1.41,1.47,1.15,24.66,26.24,27.35,26.49,22.73,30270.00,30092.00,30406.00,29065.00,36901.00,20.04,7.58,8.31,9.32,9.57,0.79,0.75,0.72,0.63,0.83,16.67,-30.66,20.19,20.38,16.95,2440935.75,3039405.25,2550817.75,2944308.25,113.15,122.75,117.81,120.88
FCX UN Equity,4.5,Basic Materials,5798.00,5444.00,4966.00,4706.00,4214.00,1.11,1.02,0.88,0.86,0.67,0.02,-0.05,-0.15,0.00,-0.34,11.49,23.87,209.40,284.66,,10161.00,10179.00,10175.00,10074.00,10074.00,21.05,10.43,2.44,-2.50,-8.17,2.79,2.66,2.47,2.47,2.34,0.82,-2.03,-6.57,0.23,-17.55,5326657.00,5945146,5056959,6330774,11.29,12.85,7.19,11.50
CMG UN Equity,3.888888836,"Consumer, Cyclical",256.08,284.13,320.74,405.61,409.71,1.35,1.40,1.36,1.44,1.42,3.18,3.28,3.55,2.61,2.75,70.04,65.14,64.29,57.37,45.85,2671.57,2696.02,2809.54,2851.51,2943.14,14.41,17.02,20.26,22.41,21.45,1.44,1.52,1.51,1.61,1.62,6.74,6.35,7.02,5.03,5.41,94954.20,129918.4141,112521.8125,112870,739.54,858.02,689.99,1056.45
LIN UN Equity,4.142857075,Basic Materials,3948.00,160.00,-1071.00,-1808.00,-3977.00,0.91,0.68,0.58,0.58,0.52,0.95,0.97,1.36,0.95,1.07,27.53,29.88,21.64,28.97,22.91,15212.00,14921.00,14156.00,14932.00,16875.00,4.02,4.54,4.88,,,1.35,1.02,0.90,0.85,0.74,7.45,7.25,10.50,7.22,8.50,730137.00,718211.5,656459.5,998280.375,202.43,204.39,175.92,221.26
INTC UW Equity,3.577777863,Technology,10149.00,9534.00,4893.00,8929.00,17606.00,1.00,0.92,0.75,0.93,1.22,0.88,0.94,1.36,1.60,1.33,12.91,11.77,12.85,13.72,10.87,29102.00,29419.00,29480.00,29551.00,39919.00,28.40,27.07,26.42,27.58,30.25,1.54,1.48,1.20,1.40,1.74,24.74,25.32,31.21,34.17,28.55,9833693.00,10128625,9105220,10475431,48.08,59.93,58.43,59.13
XLNX UW Equity,3.481481552,Technology,3416.94,3092.46,2752.17,2612.14,1823.46,7.39,6.42,5.64,5.19,2.34,0.96,0.95,0.90,0.65,0.66,36.76,32.17,25.88,28.51,24.13,1234.81,1302.36,1304.64,1305.00,1306.44,34.08,38.17,37.05,33.16,30.63,8.19,7.22,6.44,6.06,2.68,29.53,28.42,27.24,22.39,21.46,1337406.75,1433660.375,1257525.625,1767951.75,116.11,97.24,84.65,95.29
LRCX UW Equity,4.576922894,Technology,6636.61,6188.76,6376.93,5889.46,7303.12,2.73,2.90,2.94,2.62,3.60,3.62,3.66,3.22,3.57,3.96,11.56,13.51,16.72,20.79,16.64,4815.40,4539.34,4583.85,4563.59,5260.75,44.17,39.22,41.40,40.72,42.67,3.37,3.61,3.59,3.30,4.47,22.44,22.95,21.51,19.92,22.96,770719.06,822667.0625,780275.125,1049554.375,183.64,289.19,250.75,323.70
BDX UN Equity,4.263157845,"Consumer, Non-cyclical",-264.00,544.00,1009.00,-288.00,-200.00,0.42,0.44,0.51,0.39,0.52,-0.07,1.53,0.46,0.88,0.53,22.45,21.79,21.21,23.17,19.70,20613.00,20184.00,19390.00,19851.00,21614.00,4.94,4.13,5.82,4.03,4.94,0.96,1.09,1.18,0.96,0.98,0.48,10.37,3.53,6.58,4.30,725032.06,518901.1875,538292.125,668097.375,254.20,273.38,237.69,245.03
GE UN Equity,4.043478489,Industrial,47196.00,44093.00,46322.00,44663.00,55523.00,1.39,1.34,1.48,1.41,1.58,0.41,-0.01,-1.08,0.06,0.70,18.33,19.46,19.13,20.11,16.91,110356.00,108429.00,95128.00,94044.00,88221.00,-39.67,-41.26,-18.20,-18.35,-8.04,1.66,1.62,1.72,1.60,1.80,16.16,0.44,-40.34,2.77,30.21,18400776.00,18735176,20028248,16165332,10.50,12.14,7.23,6.82
HON UN Equity,4.519999981,Industrial,4741.00,3874.00,6273.00,6205.00,5236.00,0.84,0.79,0.92,0.91,0.85,1.94,2.13,2.26,2.19,2.23,17.66,19.77,19.49,19.93,14.63,16816.00,16864.00,19322.00,16707.00,16856.00,37.08,39.56,34.68,33.50,34.65,1.24,1.19,1.32,1.34,1.30,15.94,16.67,17.87,16.45,18.68,1036036.38,1053187.5,974243.875,1501013,176.59,177.51,134.00,145.02
CCI UN Equity,3.777777672,Financial,#N/A N/A,,,,,#N/A N/A,,,,,0.40,0.52,0.59,0.43,0.38,76.60,71.38,69.97,71.52,73.67,22841.00,23285.00,23626.00,23931.00,24562.00,5.87,6.65,7.86,8.60,8.61,#N/A N/A,,,,,13.71,16.64,17.97,14.56,13.02,674250.38,653785,621180.6875,547832.8125,134.23,141.26,148.75,170.72
AXP UN Equity,3.833333254,Financial,#N/A N/A,,,,,#N/A N/A,,,,,1.81,2.07,2.09,2.04,0.41,14.64,16.04,14.98,15.20,12.99,60446.00,60563.00,61292.00,64277.00,56085.00,32.06,31.12,31.22,29.24,25.20,#N/A N/A,,,,,13.77,15.01,14.79,13.92,3.33,1311236.13,1366758.25,1309253.875,1351377.75,125.40,124.06,83.87,94.33
DXCM UW Equity,4.428571224,"Consumer, Non-cyclical",1455.40,1456.00,1493.30,1609.20,1652.90,6.64,5.53,5.16,5.05,5.28,-0.30,-0.12,0.50,1.01,0.22,172.41,152.08,,,,1064.20,1086.00,1096.20,1145.70,1164.20,-23.81,-29.14,-25.83,13.08,18.45,7.18,6.05,5.63,5.47,5.82,-9.59,-3.12,11.56,20.03,4.91,459864.53,480604.2813,606642.3125,666916.1875,146.99,225.99,269.31,407.35
BKNG UW Equity,3.823529482,Communications,1501.00,3671.00,4528.00,4467.00,5124.00,1.04,1.38,1.67,1.68,1.90,17.01,22.62,46.01,28.07,-17.01,19.49,20.29,19.71,20.69,14.67,9228.00,9310.00,9111.00,9251.00,8986.00,47.23,52.54,54.58,66.11,63.27,1.27,1.58,1.82,1.83,2.24,26.97,25.43,38.69,35.07,-30.55,201928.53,204912.5469,198282.8438,163007.4063,1924.75,2047.40,1356.68,1669.98
ORCL UN Equity,3.290322542,Technology,29631.00,27756.00,23509.00,19948.00,17702.00,2.45,2.31,2.09,2.16,1.91,0.78,1.10,0.64,0.71,0.81,19.47,18.89,17.86,16.86,14.90,56159.00,56167.00,56527.00,53653.00,53545.00,29.70,32.52,38.78,47.40,56.70,2.65,2.49,2.25,2.37,2.12,28.55,33.58,23.18,24.04,26.25,3862541.50,4223552.5,3672644.75,4053943.5,59.28,54.04,51.49,55.94
