Tickers,Analyst Rating,Industry,Working Capital,,,,,Quick Ratio,,,,,EPS,,,,,PE Ratio,,,,,Short to Long Term Debt,,,,,ROE,,,,,Current,,,,,Net Project Margin,,,,,Ave 30 day Volume,Ave 6 month Volume,Ave 3 month Volume,Volume 5day ave,PX 1 Yr Ago,PX 6 Months Ago,PX 3m ago,PX 1 Day ago
WRK UN Equity,3.941176414,Industrial,1167.40,1603.20,1539.20,1505.80,2352.40,0.62,0.72,0.68,0.64,0.91,0.63,0.98,1.20,0.54,0.57,9.80,9.25,9.39,11.43,7.83,10795.50,10538.20,10063.40,10967.30,11595.90,7.31,7.16,7.46,7.36,7.35,1.29,1.45,1.45,1.44,1.75,3.47,5.39,6.68,3.13,3.33,819235.63,839850.75,779060.625,893286,38.07,42.03,28.97,28.20
AAL UW Equity,2.473684311,"Consumer, Cyclical",-11195.00,-10273.00,-9988.00,-10105.00,-12038.00,0.31,0.37,0.36,0.30,0.24,0.41,1.49,0.96,0.95,-5.26,7.32,7.25,5.70,5.83,49.65,33444.00,34748.00,34440.00,33444.00,34073.00,#N/A N/A,,,,,0.44,0.49,0.49,0.45,0.37,1.75,5.54,3.57,3.66,-26.32,25434848.00,13675739,19921488,20146090,32.46,27.32,9.50,12.50
ICE UN Equity,4.904761791,Financial,450.00,241.00,337.00,-837.00,-1273.00,0.03,0.03,0.03,0.03,0.02,0.85,0.84,0.95,0.81,1.18,22.50,25.15,25.78,26.43,21.06,7856.00,8149.00,8164.00,8153.00,8595.00,11.78,11.94,12.33,11.22,12.33,1.01,1.00,1.00,0.99,0.99,38.11,36.36,39.60,34.51,41.69,835377.69,1033654.188,810502.25,920256,89.52,94.70,84.43,92.26
OTIS UN Equity,3.692307711,Industrial,159.00,,,,,0.74,,,,,0.38,,,,,#N/A N/A,,,,,6704.00,,,,,#N/A N/A,,,,,1.03,,,,,8.80,9.19,9.57,6.50,5.56,1104379.75,#N/A N/A,1384217.75,1252766.25,#N/A N/A,#N/A N/A,45.94,56.50
TTWO UW Equity,4.333333492,Technology,876.04,879.07,1098.11,1338.71,1454.81,1.01,0.98,1.03,1.26,1.27,0.50,0.41,0.63,1.44,1.08,59.53,82.58,81.12,38.03,32.43,0.00,146.92,141.06,175.51,177.25,18.92,15.66,17.20,15.29,17.66,1.45,1.45,1.48,1.64,1.71,10.54,8.56,8.37,17.59,16.14,943383.44,845152.4375,879110.1875,915452.375,117.23,124.69,121.29,144.40
ALLE UN Equity,2.833333254,Industrial,364.80,366.10,441.90,494.80,465.30,1.06,1.04,1.22,1.35,1.29,0.85,1.17,1.41,0.87,0.00,19.05,22.99,20.64,25.48,18.20,1518.80,1509.80,1507.50,1509.10,1507.30,81.29,75.15,70.82,57.06,51.73,1.75,1.71,1.90,1.98,2.02,12.24,14.95,17.59,11.22,0.06,218556.94,241797.2344,219146.3125,238214.5938,110.99,123.61,94.49,102.39
LMT UN Equity,4.208333492,Industrial,2628.00,2968.00,4288.00,3123.00,3570.00,0.25,0.25,0.32,0.28,0.31,6.03,5.03,5.70,5.32,6.10,13.00,14.92,15.61,15.06,12.78,15021.00,14637.00,14652.00,13754.00,12689.00,358.24,247.52,275.60,211.23,,1.17,1.20,1.28,1.22,1.23,11.89,9.84,10.60,9.43,10.97,502337.13,484134.0625,463348.0625,441330.1875,369.92,413.11,367.95,362.00
CL UN Equity,3.761904716,"Consumer, Non-cyclical",268.00,473.00,118.00,141.00,-195.00,0.63,0.65,0.58,0.58,0.55,0.65,0.68,0.67,0.75,0.83,23.50,25.20,25.89,24.29,22.17,7191.00,7328.00,8804.00,8483.00,7846.00,#N/A N/A,,,,,1.07,1.13,1.03,1.03,0.96,14.42,15.16,14.71,16.01,17.45,1263643.25,1435107,1196078.625,1338073.75,73.14,68.49,70.50,73.28
VRSN UW Equity,3.666666746,Communications,373.99,360.70,337.27,313.42,229.82,1.34,1.32,1.29,1.27,1.20,1.36,1.24,1.30,1.27,2.87,38.59,43.00,40.45,40.31,28.63,1793.79,1795.43,1797.25,1796.76,1792.42,#N/A N/A,,,,,1.40,1.39,1.35,1.32,1.24,53.04,48.17,49.90,47.76,106.91,303291.59,334850.2188,304907.5,283170.8125,217.33,202.74,195.85,210.81
IFF UN Equity,3.400000095,Basic Materials,1781.69,1840.49,1486.11,1390.35,1391.30,1.30,1.28,1.02,0.96,0.96,0.97,1.21,1.15,0.75,1.11,22.65,27.29,26.60,26.35,20.61,4809.20,4827.04,4697.69,4677.96,4332.47,8.00,8.90,7.64,7.44,7.88,2.56,2.60,2.05,1.90,1.98,8.39,10.56,10.03,6.51,9.25,299095.28,359764.125,285115.1875,333966.4063,145.12,125.52,109.00,126.88
FE UN Equity,4.647058964,Utilities,-2010.00,-1597.00,-1623.00,-2418.00,-1694.00,0.40,0.45,0.49,0.41,0.39,0.59,0.58,0.73,-0.20,0.14,16.38,15.57,17.55,18.85,17.33,20539.00,20911.00,21049.00,21271.00,21952.00,0.92,3.23,16.23,13.17,9.65,0.54,0.60,0.62,0.50,0.54,11.10,12.40,13.20,-4.15,2.73,1193136.00,1271255.125,1098719.5,1490789.25,43.73,47.55,41.36,39.92
FMC UN Equity,4.681818008,Basic Materials,866.50,866.90,1556.10,1350.90,2015.50,0.79,0.76,0.96,0.94,1.18,1.63,1.32,0.69,-0.02,1.59,14.30,14.98,15.19,16.38,13.16,3345.40,3434.50,3782.70,3453.50,3966.10,15.61,17.13,17.94,16.84,17.17,1.26,1.27,1.62,1.50,1.82,18.09,14.47,8.91,-0.27,16.50,229178.53,280935.2813,227254.1719,300539,84.69,98.36,78.03,101.14
OMC UN Equity,2.692307711,Communications,-1840.90,-2265.30,-1658.90,-1396.20,-1006.90,0.70,0.67,0.68,0.76,0.73,1.18,1.69,1.33,1.90,1.19,12.40,13.74,13.18,13.37,9.01,7101.50,7264.50,6803.70,6848.10,6332.70,52.55,56.25,54.51,49.49,54.75,0.88,0.85,0.87,0.91,0.92,7.59,9.97,8.01,10.02,7.58,932211.69,788030.1875,771666.8125,941544.375,84.75,79.53,53.70,54.61
CHRW UW Equity,3.363636255,Industrial,1298.69,1210.23,1249.03,1084.08,801.91,1.75,1.64,1.71,1.56,1.32,1.17,1.23,1.08,0.73,0.58,17.73,16.89,17.61,18.71,18.44,1606.34,1524.47,1525.55,1556.06,1770.21,43.61,43.68,41.05,35.33,30.46,1.91,1.81,1.87,1.70,1.44,4.31,4.33,3.81,2.61,2.05,896131.44,810951.5625,849798.5,1005960,84.90,76.51,72.39,79.18
KMI UN Equity,4.153846264,Energy,-2747.00,-3359.00,-4461.00,-1862.00,-2512.00,0.31,0.25,0.22,0.49,0.28,0.24,0.23,0.22,0.27,-0.14,24.70,27.69,23.59,22.35,14.75,35671.00,35715.00,36069.00,33689.00,33495.00,4.71,6.89,6.28,6.48,3.95,0.45,0.41,0.35,0.63,0.55,16.21,16.12,15.74,18.20,-9.85,3391303.75,4370283,3604340.75,3679870.75,21.11,21.28,13.99,15.12
GL UN Equity,2.799999952,Financial,#N/A N/A,,,,,#N/A N/A,,,,,1.68,1.70,1.85,1.73,1.54,13.00,13.83,14.45,15.56,11.23,1649.98,1610.85,1584.50,1647.73,1804.92,12.02,11.66,11.49,11.97,11.80,#N/A N/A,,,,,16.56,16.50,17.68,16.46,14.61,205404.91,222782.0938,225103.1875,245211.5938,91.77,103.75,71.87,72.53
KSU UN Equity,3.818181753,Industrial,173.80,-157.60,-172.30,237.30,151.20,0.77,0.45,0.43,0.86,0.77,1.02,1.29,1.81,1.31,1.59,19.17,19.38,19.80,22.58,19.06,2842.10,2836.80,2821.50,3377.10,3295.50,12.42,11.92,11.89,11.68,12.70,1.36,0.79,0.78,1.48,1.32,15.23,18.03,24.10,17.44,20.75,300613.38,313866.375,302195.75,313385.8125,122.94,154.89,134.51,147.18
EA UW Equity,4.3125,Technology,4116.00,4150.00,4222.00,4291.00,3853.00,2.68,3.34,3.16,2.74,2.33,0.70,4.78,2.89,1.18,1.44,29.55,13.98,10.51,11.16,9.67,994.00,1235.00,1251.00,1238.00,1220.00,20.53,36.56,44.02,44.99,47.51,2.82,3.52,3.32,2.84,2.45,16.88,117.54,63.35,21.72,30.14,1228757.50,1333393.375,1245994.375,1113006.625,93.60,108.78,106.51,133.84
HFC UN Equity,3.736842155,Energy,1652.05,1802.37,1827.42,1620.26,1200.26,0.92,1.03,1.07,1.05,1.13,1.48,1.16,1.60,0.38,-1.88,6.98,6.50,8.00,9.52,12.32,2867.06,2888.69,2886.86,2931.21,2933.19,18.54,15.73,14.17,12.97,3.67,1.99,2.08,2.07,1.96,1.92,6.49,4.12,5.92,1.38,-8.96,623249.81,702687.5625,605321.5,602887,45.83,48.00,25.96,27.22
LB UN Equity,3.444444418,"Consumer, Cyclical",1274.00,750.00,437.00,383.00,873.00,0.90,0.65,0.51,0.25,0.76,1.94,0.15,0.14,-0.91,-0.70,9.71,9.28,7.30,7.12,5.03,5811.00,9522.00,9194.00,9143.00,9099.00,#N/A N/A,,,,,1.64,1.34,1.20,1.15,1.37,11.13,1.52,1.31,-9.41,-4.08,1893585.50,2096352.875,2005461.125,1653550,27.79,18.16,12.55,15.11
KHC UW Equity,3.272727251,"Consumer, Non-cyclical",863.00,1371.00,13.00,222.00,3774.00,0.39,0.45,0.47,0.54,0.97,0.33,0.37,0.74,0.15,0.31,8.76,8.83,8.45,9.98,8.83,31777.00,31766.00,31292.00,29845.00,32779.00,-18.30,-18.93,-18.48,3.75,3.72,1.11,1.18,1.00,1.03,1.48,6.80,7.01,14.80,2.78,6.14,2220880.50,2876759.75,2293373.5,2125513.25,30.99,31.31,25.91,31.81
NDAQ UW Equity,3.900000095,Financial,-905.00,-168.00,-193.00,63.00,-180.00,0.20,0.22,0.24,0.25,0.34,1.49,1.05,0.91,1.23,1.23,18.24,20.10,20.52,21.82,19.18,3985.00,3893.00,3865.00,3779.00,4476.00,9.41,9.74,9.64,13.94,13.39,0.84,0.96,0.95,1.01,0.97,38.96,27.93,23.73,31.27,28.96,337388.69,444433.8125,367763.4063,374000.5938,101.05,108.21,101.59,120.06
IPG UN Equity,3.666666746,Communications,-284.10,-255.90,-348.40,-649.70,-199.20,0.62,0.65,0.62,0.68,0.67,-0.02,0.44,0.43,0.85,0.01,11.63,12.55,12.18,13.17,9.22,5422.80,5495.40,5311.20,5023.10,5867.60,28.26,28.92,28.36,25.38,27.59,0.96,0.97,0.95,0.93,0.97,-0.34,6.73,6.79,11.33,0.20,1283167.00,1345145.375,1283310.75,1327403.625,23.36,22.93,15.02,17.06
STZ UN Equity,4.238095284,"Consumer, Non-cyclical",520.20,641.60,1341.60,1009.70,1172.30,0.30,0.30,0.47,0.37,0.41,6.50,-1.28,-2.74,1.88,2.08,20.20,21.99,22.61,21.10,16.01,13616.50,14000.20,13535.40,12937.30,12744.80,33.48,21.53,6.82,7.22,-0.10,1.16,1.22,1.61,1.41,1.51,68.97,-11.70,-22.41,18.03,20.94,362290.16,431709.5,373838.3438,470306.4063,197.49,190.40,142.26,185.80
LEG UN Equity,3.400000095,"Consumer, Cyclical",792.00,802.70,683.80,610.00,927.30,1.05,1.07,0.97,0.87,1.23,0.46,0.64,0.74,0.64,0.34,17.45,15.74,16.22,19.65,10.94,2618.20,2589.50,2409.70,2282.70,2623.90,24.19,24.54,24.79,27.04,26.17,1.91,1.89,1.74,1.66,2.08,5.30,7.11,8.04,7.58,4.37,548634.13,525516.4375,570468.4375,342699.4063,38.90,50.00,25.33,34.34
NLSN UN Equity,3.666666746,"Consumer, Non-cyclical",130.00,137.00,172.00,-524.00,-554.00,0.85,0.86,0.86,0.62,0.60,0.12,0.35,-1.33,-0.31,-0.05,17.41,16.05,25.29,77.01,110.88,9210.00,9174.00,8990.00,8789.00,8882.00,-21.03,-20.18,-40.76,-16.46,-19.69,1.07,1.07,1.10,0.79,0.78,2.75,7.56,-29.21,-6.45,-1.15,1414607.25,1157625.375,1246514,1276944.375,23.02,20.49,13.17,14.72
WLTW UW Equity,3.875,Financial,1366.00,1129.00,664.00,967.00,926.00,0.16,0.16,0.15,0.17,0.15,2.21,1.06,0.58,4.20,2.36,25.59,26.76,26.88,24.92,20.04,5824.00,5569.00,6973.00,6745.00,6939.00,7.39,8.34,8.81,10.39,10.43,1.08,1.07,1.04,1.06,1.05,12.41,6.74,3.77,20.22,12.37,384888.31,446675.75,450883.9063,382676.4063,195.84,204.58,175.36,196.60
DISH UW Equity,3.590909004,Communications,-1362.84,-2277.65,-1835.26,-480.99,11.30,0.60,0.54,0.48,0.77,0.85,0.73,0.68,0.74,0.77,0.14,11.07,14.44,13.39,13.70,7.81,15871.21,15848.73,14472.96,14282.30,14291.61,19.01,16.64,14.63,13.88,10.99,0.73,0.63,0.60,0.89,1.00,10.66,9.87,11.15,12.02,2.27,1338858.75,1274946.875,1240800,1580077.625,39.81,35.64,21.11,33.06
FLT UN Equity,4.142857075,"Consumer, Non-cyclical",-390.04,-362.85,461.07,155.50,-331.06,0.80,0.82,0.94,0.85,0.72,2.00,3.03,2.61,2.72,1.73,30.02,33.03,31.91,30.77,20.85,4594.47,4696.77,4567.69,5135.39,5256.31,21.80,24.54,25.77,25.39,27.50,0.91,0.92,1.12,1.03,0.93,27.68,40.43,33.16,33.70,22.25,235969.14,278630.125,212881.8438,223633.7969,291.77,289.19,206.09,254.84
NOV UN Equity,3.758620739,Energy,4835.00,4545.00,4239.00,3866.00,3739.00,1.46,1.39,1.37,1.35,1.38,-0.20,-14.11,-0.64,-1.01,-5.34,#N/A N/A,,,,,3326.00,3295.00,3270.00,2777.00,2763.00,-0.29,-48.88,-51.89,-56.44,-83.79,3.30,3.05,2.86,2.72,2.73,-3.97,-252.77,-11.48,-16.88,-108.71,1245169.00,1250499.375,1256890.75,1490366.25,21.94,25.48,10.90,12.10
PGR UN Equity,4.052631378,Financial,#N/A N/A,,,,,#N/A N/A,,,,,1.84,1.67,1.43,1.82,1.17,13.81,14.56,14.05,12.92,12.35,4616.80,4610.20,4610.60,4608.60,5583.30,27.50,27.62,25.10,33.55,27.93,#N/A N/A,,,,,11.60,10.37,8.84,9.98,7.43,851475.13,965414.1875,850745.125,947019.1875,81.49,73.42,75.99,79.23
WRB UN Equity,2.818181753,Financial,#N/A N/A,,,,,#N/A N/A,,,,,0.95,1.14,0.87,0.62,-0.02,23.97,25.31,26.97,23.75,18.89,3055.85,3150.12,2638.05,2892.76,2869.26,11.69,12.13,12.09,11.85,8.83,#N/A N/A,,,,,9.33,10.71,8.40,6.04,-0.24,287883.19,360934,318854.8438,314595.4063,66.73,68.95,53.73,56.47
ABMD UW Equity,3.666666746,"Consumer, Non-cyclical",571.20,577.16,535.20,510.32,503.98,5.50,5.72,4.81,4.19,4.00,1.64,1.97,0.29,1.53,0.71,56.02,58.84,40.72,37.74,32.77,0.00,13.67,12.70,12.62,12.22,31.85,29.88,24.75,25.83,20.28,6.39,6.76,5.77,5.04,4.82,35.72,42.82,6.38,31.24,15.39,208337.73,258999.0156,203598.2969,199953.5938,261.47,179.04,150.26,263.84
AIZ UN Equity,5,Financial,#N/A N/A,,,,,#N/A N/A,,,,,2.57,2.24,-0.96,2.01,2.48,15.00,14.98,16.53,14.85,11.61,2006.60,2092.00,2089.30,2083.30,2207.50,6.24,7.08,4.94,6.95,6.90,#N/A N/A,,,,,6.80,5.66,-2.19,4.90,6.03,163858.70,174778.25,168392.9531,177687.2031,110.12,133.11,103.93,100.50
FAST UW Equity,3.235294104,"Consumer, Cyclical",1834.60,1940.40,1945.70,1912.50,1883.90,1.76,1.88,1.82,1.68,1.71,0.17,0.36,0.37,0.31,0.35,27.78,27.93,27.37,30.71,22.59,711.20,736.20,685.40,590.60,699.10,33.78,32.35,31.87,31.84,31.64,4.31,4.68,4.51,4.51,4.25,14.82,14.95,15.48,13.99,14.82,1828668.88,1948686.5,1765147.875,1958799.625,32.09,36.00,32.18,44.04
MOS UN Equity,4.050000191,Basic Materials,1749.10,1701.90,1400.80,1126.50,952.10,0.49,0.44,0.53,0.51,0.55,0.34,-0.60,-0.11,-2.43,-0.54,14.90,14.16,22.36,541.20,250.09,4988.90,4922.20,4879.30,4808.40,5760.80,5.30,2.49,-0.33,-10.90,-14.76,1.73,1.67,1.51,1.43,1.29,6.89,-10.71,-1.60,-44.36,-11.29,1175519.38,1417228.625,1172590.25,1441197.25,24.80,20.76,11.33,12.85
XRAY UW Equity,4,"Consumer, Non-cyclical",925.00,947.50,942.40,1004.40,913.70,1.02,1.08,1.06,1.19,1.06,0.18,0.16,0.38,0.46,-0.63,35.46,33.47,27.47,27.49,33.32,1733.20,1656.60,1575.70,1598.60,1562.50,-17.85,2.05,3.18,5.15,1.71,2.06,2.08,2.08,2.01,2.02,4.14,3.61,8.83,9.20,-16.00,851635.13,880706.125,936549,845079.375,57.80,56.61,37.73,44.18
APA UW Equity,3.322580576,Energy,130.00,529.00,50.00,106.00,-117.00,0.64,0.73,0.64,0.71,0.63,-0.12,-0.96,-0.45,-7.89,-11.86,#N/A N/A,,,,,8850.00,8703.00,8732.00,8943.00,9148.00,-2.10,-9.96,-13.77,-68.43,,1.05,1.23,1.03,1.06,0.94,-2.77,-22.40,-11.62,-177.88,-357.26,#N/A N/A,#N/A N/A,#N/A N/A,2952183.25,#N/A N/A,#N/A N/A,#N/A N/A,13.26
AVY UN Equity,3.666666746,"Consumer, Non-cyclical",283.20,98.70,65.50,86.80,353.50,0.70,0.65,0.64,0.65,0.77,-1.74,1.70,1.72,1.92,1.61,20.84,21.04,19.61,21.45,14.82,2267.40,2215.00,2143.40,2079.80,2820.30,18.76,23.33,22.64,28.12,54.01,1.14,1.04,1.03,1.04,1.14,-8.44,7.99,8.21,9.17,7.79,191418.17,196818.7031,171204.2813,263306,120.48,126.89,100.42,117.00
CTSH UW Equity,3,Technology,5163.00,4382.00,4472.00,4628.00,5453.00,2.59,2.26,2.23,2.24,2.61,0.77,0.90,0.90,0.72,0.67,18.87,16.27,15.06,16.46,12.94,1611.00,1654.00,1700.00,1711.00,3399.00,18.28,19.57,19.33,16.41,16.26,2.90,2.55,2.53,2.55,2.90,10.73,12.29,11.70,9.22,8.69,1519688.38,1673126.5,1627713,1550685.375,64.71,60.75,48.45,56.08
AOS UN Equity,3.615384579,Industrial,920.90,866.00,774.00,733.90,743.40,1.75,1.66,1.54,1.49,1.54,0.53,0.61,0.53,0.56,0.32,20.94,18.89,19.74,21.36,18.72,337.80,410.50,371.00,334.70,391.20,25.14,24.44,23.74,21.87,19.75,2.25,2.19,2.06,1.96,2.06,11.94,13.34,11.99,12.16,8.12,359742.13,524996.8125,420506.75,405540.8125,47.01,47.65,38.22,47.32
SJM UN Equity,2.764705896,"Consumer, Non-cyclical",-90.20,-716.30,-677.30,-650.90,-474.70,0.39,0.26,0.23,0.25,0.27,1.07,0.63,1.36,1.85,1.64,17.58,17.15,16.84,15.81,16.65,6089.10,5910.80,5942.50,5878.60,5574.20,7.93,6.46,6.70,6.90,7.69,0.95,0.69,0.70,0.72,0.77,6.03,3.76,8.69,10.79,9.50,350913.13,375002,372634.4375,324680.4063,119.49,103.71,115.19,105.02
LUV UN Equity,4.190476418,"Consumer, Cyclical",-3240.00,-3057.00,-2979.00,-2978.00,-3213.00,0.53,0.55,0.57,0.58,0.61,0.70,1.37,1.24,0.98,-0.18,12.33,11.76,12.08,12.61,10.41,4684.00,4611.00,4381.00,3996.00,6349.00,24.62,24.05,24.31,23.38,19.29,0.63,0.65,0.65,0.67,0.69,7.52,12.54,11.69,8.97,-2.22,3610643.00,2656969,3645603,3154659.5,51.88,54.13,30.70,34.12
FLS UN Equity,3,Industrial,1315.19,1350.45,1347.46,1392.48,1319.48,1.27,1.33,1.28,1.32,1.23,0.44,0.44,0.52,0.53,0.00,23.46,25.67,22.15,23.59,12.52,1662.56,1647.64,1541.89,1564.88,1549.96,9.60,12.35,14.71,14.78,11.70,2.17,2.28,2.29,2.25,2.19,6.43,5.88,6.87,6.53,-0.07,539507.38,423886.3438,457509.875,427591.5938,53.00,49.78,26.18,28.34
UHS UN Equity,4.125,"Consumer, Non-cyclical",303.68,420.76,308.86,352.54,144.40,1.01,1.08,0.99,1.04,0.91,2.57,2.67,1.10,2.81,1.64,13.89,13.12,15.04,14.32,10.84,4236.17,4481.09,4277.70,4310.65,4147.10,14.74,14.95,13.50,14.92,13.23,1.18,1.27,1.19,1.23,1.09,8.35,8.35,3.44,8.47,5.02,242471.91,236556.4063,206215.9219,259628.2031,131.38,141.86,96.50,93.61
ABC UN Equity,3.947368383,"Consumer, Non-cyclical",-1589.72,-1387.09,-1449.24,-1675.64,-931.14,0.52,0.52,0.53,0.52,0.56,0.13,1.44,0.64,0.91,4.68,13.67,14.03,12.59,12.62,12.49,4642.87,4506.07,4493.41,4706.66,4671.15,30.44,31.41,29.44,21.63,48.60,0.95,0.95,0.95,0.95,0.97,0.06,0.67,0.29,0.39,2.03,341955.19,436490.375,364594.2188,380640.5938,87.97,85.24,86.29,100.09
WM UN Equity,3.941176414,Industrial,-1124.00,1990.00,2571.00,3065.00,2565.00,0.52,1.50,1.65,1.75,1.62,0.82,0.90,1.17,1.05,0.85,24.63,26.67,26.66,26.04,21.22,10754.00,13128.00,13836.00,13943.00,13452.00,30.11,28.08,26.93,25.03,25.60,0.69,1.70,1.86,1.97,1.84,9.39,9.66,12.48,11.62,9.68,629125.13,789112.0625,681384.5,691763.8125,116.48,115.93,91.29,104.97
EL UN Equity,3.833333254,"Consumer, Non-cyclical",2929.00,2607.00,2432.00,3395.00,3552.00,1.17,1.05,0.99,1.18,1.18,1.53,0.43,1.65,1.55,-0.02,31.09,34.13,35.40,28.63,24.15,3399.00,3412.00,6096.00,7871.00,8860.00,39.01,39.34,42.08,41.98,29.23,1.69,1.57,1.53,1.69,1.63,14.82,4.37,15.28,12.05,-0.18,426017.59,594161.0625,465529.1875,357983.8125,185.35,207.36,160.50,191.61
DISCK UW Equity,3.5,Communications,550.00,1058.00,1476.00,1978.00,1751.00,0.97,1.08,1.24,1.29,1.40,0.53,1.33,0.35,0.68,0.55,12.87,10.21,8.38,9.65,5.43,16940.00,17265.00,16299.00,16372.00,15874.00,8.80,14.47,15.70,16.88,17.00,1.16,1.27,1.52,1.61,1.61,14.19,32.83,9.78,16.56,14.05,1196098.50,1254731.75,1064008.125,1091731.625,28.72,29.96,18.08,18.93
HRB UN Equity,3,"Consumer, Non-cyclical",647.01,1070.36,213.74,-662.55,-35.66,1.64,1.85,0.93,0.25,0.76,-0.62,4.32,-0.74,-0.95,-0.67,7.25,13.38,10.79,11.23,7.01,1876.99,1492.63,1972.46,2118.54,3006.80,90.35,176.02,,,,2.10,2.16,1.29,0.48,0.97,-27.00,37.64,-99.92,-116.91,-24.98,995282.88,1007422.938,856267.75,1050267.75,28.83,23.53,13.56,13.94
GPC UN Equity,3.142857075,"Consumer, Cyclical",1341.06,1686.44,1685.86,1544.50,1411.83,0.47,0.52,0.50,0.46,0.46,1.10,1.54,1.56,0.06,0.94,19.72,18.28,17.60,18.78,12.37,4400.53,4830.49,4489.86,4522.40,4438.82,22.49,22.06,22.03,17.43,17.18,1.20,1.26,1.26,1.24,1.21,3.38,4.55,4.54,0.19,2.99,267845.66,331548.8438,283290.625,313389.1875,105.60,102.10,67.10,86.84
RCL UN Equity,3.761904716,"Consumer, Cyclical",-6772.82,-6303.17,-5909.58,-6790.27,-4388.17,0.08,0.08,0.09,0.07,0.46,1.19,2.26,4.21,1.31,-6.91,12.81,13.25,11.56,14.35,32.19,11081.55,11651.44,11398.10,11733.49,16711.73,16.81,16.57,16.48,16.15,1.72,0.16,0.17,0.17,0.15,0.51,10.23,16.85,27.72,10.85,-71.06,3265778.75,2893648.75,3661689.5,2346574.5,115.40,131.63,29.61,49.51
PNW UN Equity,3.799999952,Utilities,-714.92,-872.39,-453.59,-1048.34,-1217.18,0.23,0.24,0.34,0.19,0.18,0.16,1.28,2.78,0.57,0.27,21.04,21.88,23.03,19.97,16.54,5499.30,5682.85,5571.06,5811.82,6109.88,10.24,9.80,9.18,10.11,10.27,0.55,0.54,0.71,0.50,0.47,2.42,16.58,26.22,9.54,4.53,447209.88,426640.9688,401999.4688,338431.8125,95.29,88.90,74.33,76.03
LW UN Equity,3.5,"Consumer, Non-cyclical",401.40,408.70,366.10,437.90,503.80,0.56,0.64,0.72,0.63,0.67,0.96,0.76,0.79,0.96,0.76,24.43,20.09,22.63,25.13,17.55,2424.70,2326.60,2410.00,2414.50,2428.20,#N/A N/A,,,,,1.60,1.74,1.68,1.65,1.85,15.26,11.00,11.70,13.78,11.89,473624.00,410977.2188,418803.9063,304633.4063,64.34,90.70,51.82,63.46
ADP UW Equity,3.421052694,"Consumer, Non-cyclical",1758.00,1714.60,307.60,842.60,1035.90,0.11,0.13,0.25,0.10,0.12,1.74,1.10,1.35,1.51,1.91,29.98,30.43,29.14,29.84,23.35,2002.30,2264.20,6000.10,2469.30,2464.00,42.22,45.24,47.21,48.64,47.13,1.04,1.05,1.01,1.02,1.03,19.69,13.59,16.66,17.76,20.28,908675.94,1081731.625,968066.5625,754439.8125,164.84,170.19,139.65,150.54
CF UN Equity,3.849999905,Basic Materials,586.00,446.00,424.00,309.00,245.00,1.13,1.12,1.07,0.80,0.81,0.40,1.28,0.29,0.26,0.31,32.24,29.10,27.82,26.86,15.68,4988.00,4987.00,4971.00,4240.00,4749.00,9.68,13.65,15.18,16.84,16.58,1.71,1.43,1.34,1.46,1.20,8.99,18.84,6.26,5.24,7.00,645020.69,734710.75,667308.5,840021.8125,46.30,46.00,27.50,29.38
ZION UW Equity,3.480000019,Financial,#N/A N/A,,,,,#N/A N/A,,,,,1.10,1.05,1.23,1.03,0.04,11.19,11.06,10.39,11.98,8.12,6483.00,7570.00,6133.00,4081.00,5847.00,11.69,11.73,11.84,11.33,8.37,#N/A N/A,,,,,30.08,28.25,31.14,25.74,2.05,1209876.38,1260784.625,1213787.625,820263,46.21,51.07,26.93,32.41
RHI UN Equity,3,"Consumer, Non-cyclical",631.29,655.41,653.74,688.16,693.30,1.22,1.22,1.19,1.17,1.21,0.94,0.98,1.02,0.99,0.79,17.53,14.98,14.39,16.19,10.04,277.29,270.57,272.13,273.83,276.29,40.87,40.85,40.80,41.18,39.38,1.70,1.72,1.67,1.73,1.76,7.48,7.56,7.55,7.34,5.97,457742.84,410033.1875,446429.9375,534354,57.91,62.81,38.15,51.72
IVZ UN Equity,2.684210539,Financial,#N/A N/A,,,,,#N/A N/A,,,,,0.44,0.09,0.36,0.40,0.18,8.51,9.36,7.49,7.38,4.15,7977.20,7649.20,8152.30,8679.70,9114.60,9.18,5.29,4.42,5.03,4.23,#N/A N/A,,,,,14.63,2.79,13.45,13.71,8.80,2268167.00,1899607.75,2101390.5,1689478,20.97,17.79,8.96,10.55
PBCT UW Equity,3.142857075,Financial,#N/A N/A,,,,,#N/A N/A,,,,,0.30,0.33,0.34,0.31,0.30,12.48,12.49,11.56,12.22,8.00,4027.10,4564.90,5805.30,6455.50,7230.90,7.70,7.77,7.97,7.24,7.54,#N/A N/A,,,,,26.81,29.31,29.71,27.13,25.09,1709448.75,1730780.25,1591608.125,1719607.25,17.00,16.54,10.37,11.18
CNP UN Equity,3.666666746,Utilities,280.00,330.00,-18.00,-41.00,122.00,0.87,0.83,0.73,0.75,0.48,0.28,0.33,0.48,0.25,-2.44,22.02,19.71,19.11,16.52,7.03,14915.00,15436.00,15766.00,16119.00,16014.00,5.44,9.80,11.23,10.42,-11.86,1.09,1.11,0.99,0.99,1.03,7.58,6.97,9.85,4.86,-55.33,2508271.50,2089032.625,2230942.25,2395733.75,29.44,26.75,15.30,19.46
